TpepPickupDatetime,TpepDropoffDatetime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
1/1/2020 1:41:49 AM,1/1/2020 1:43:56 AM,3,0.12,No,229,229,3.5,0
1/1/2020 1:04:30 AM,1/1/2020 1:08:36 AM,1,0.99,No,140,229,-5.5,0
1/1/2020 1:04:30 AM,1/1/2020 1:08:36 AM,1,0.99,No,140,229,5.5,0
1/1/2020 1:10:41 AM,1/1/2020 1:16:31 AM,1,0.65,No,229,162,-5,0
1/1/2020 1:10:41 AM,1/1/2020 1:16:31 AM,1,0.65,No,229,162,5,0
1/1/2020 1:53:18 AM,1/1/2020 1:54:23 AM,1,0.15,No,162,170,-3,0
1/1/2020 1:53:18 AM,1/1/2020 1:54:23 AM,1,0.15,No,162,170,3,0
1/1/2020 1:50:19 AM,1/1/2020 2:01:27 AM,1,2.63,No,49,61,-10.5,0
1/1/2020 1:50:19 AM,1/1/2020 2:01:27 AM,1,2.63,No,49,61,10.5,0
1/1/2020 1:16:49 AM,1/1/2020 1:39:30 AM,1,5.37,No,141,119,-19,0
1/1/2020 1:16:49 AM,1/1/2020 1:39:30 AM,1,5.37,No,141,119,19,0
1/1/2020 1:18:56 AM,1/1/2020 1:20:47 AM,1,0.42,No,125,231,-3.5,0
1/1/2020 1:18:56 AM,1/1/2020 1:20:47 AM,1,0.42,No,125,231,3.5,0
1/1/2020 1:08:14 AM,1/1/2020 1:10:14 AM,2,0.24,No,42,42,-3.5,-0.8
1/1/2020 1:08:14 AM,1/1/2020 1:10:14 AM,2,0.24,No,42,42,3.5,0.8
1/1/2020 1:26:20 AM,1/1/2020 1:46:16 AM,1,5.78,No,141,144,-20,0
1/1/2020 1:26:20 AM,1/1/2020 1:46:16 AM,1,5.78,No,141,144,20,0
1/1/2020 1:50:41 AM,1/1/2020 2:34:05 AM,4,16.38,No,68,265,-50,0
1/1/2020 1:50:41 AM,1/1/2020 2:34:05 AM,4,16.38,No,68,259,50,0
1/1/2020 1:52:47 AM,1/1/2020 2:17:25 AM,1,10.85,No,236,18,-31.5,0
1/1/2020 1:52:47 AM,1/1/2020 2:17:25 AM,1,10.85,No,236,18,31.5,0
1/1/2020 1:07:04 AM,1/1/2020 1:24:01 AM,1,2.48,No,263,143,-12.5,0
1/1/2020 1:07:04 AM,1/1/2020 1:24:01 AM,1,2.48,No,263,143,12.5,0
1/1/2020 1:01:54 AM,1/1/2020 1:10:17 AM,2,1.86,No,229,236,-8,0
1/1/2020 1:01:54 AM,1/1/2020 1:10:17 AM,2,1.86,No,229,236,8,0
1/1/2020 12:55:08 AM,1/1/2020 12:56:11 AM,1,0,No,107,107,-3,0
